Date,Wagers/sales,Lotto,Bingo,Crossword,Terdrup,Free Roll,Crossword Paradise,Spin the Wheel,Race 6,Pick 3,Pick 4,Spin Roulette
1/1/2026,3152510,55260,941430,973410,107550,1284,168600,424230,143785,74250,41720,222275
2/1/2026,2628890,15330,823830,814770,81775,1165,144350,359880,129670,50610,26800,181875
3/1/2026,2471425,12240,763650,784950,66350,949,147900,317490,128855,72330,25160,152500
4/1/2026,2296985,22980,688920,771840,64275,985,130350,279240,132690,42510,23880,140300
5/1/2026,2692120,49380,767820,895110,76425,1265,152800,311460,148335,86130,44960,159700
6/1/2026,2705970,23280,809970,923010,72575,1149,140650,317580,165530,65820,28480,159075
7/1/2026,2999870,27570,804450,993510,94225,1141,159500,387870,224885,70410,36000,201450
8/1/2026,2792905,48780,802080,974520,71425,1238,123250,341010,184395,58680,27040,161725
9/1/2026,2655305,19800,778410,890250,66050,1160,155250,310710,182450,66630,35880,149875
10/1/2026,2449235,11880,738480,822360,57900,1041,137450,268710,169630,75660,36840,130325
11/1/2026,2137600,14010,624810,753990,50150,1022,108300,252780,169925,42810,12800,108025
12/1/2026,2245980,57390,645030,756570,57375,1111,103650,270060,173755,52200,15600,114350
13/01/2026,2456305,22260,717600,825450,54625,1141,124000,306390,191615,56340,28400,129625
14/01/2026,2568020,21060,729300,847140,66275,1356,122750,343320,184010,55350,28640,170175
15/01/2026,2423250,69030,730110,822030,60300,1146,122800,302850,96465,66570,22720,130375
16/01/2026,2287750,23160,751440,770430,57925,1052,115500,261810,96190,61680,28840,120775
17/01/2026,2062595,10740,667770,755940,42425,920,113900,225660,85480,40470,24760,95450
18/01/2026,1913520,15840,629220,624750,43150,874,110000,232650,100805,43680,13800,99625
19/01/2026,1977430,51930,662730,626790,41475,951,114250,227070,99500,50190,14720,88775
20/01/2026,2098275,20910,699180,747750,41675,904,110450,220740,104465,54750,16080,82275
21/01/2026,2707785,38250,759240,911010,65950,1320,153650,376080,118970,60720,30440,193475
22/01/2026,2298320,70560,675090,767610,38375,1100,114300,319860,95455,53880,12040,142150
